Accession,Species,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Collection_Date
KC140102,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-08-20
KC210145,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-03-15
KC210146,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2008
KC210147,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
KC196276,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-05
JX560761,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-02
KC175339,Alphacoronavirus 1,GenBank,complete,Germany,,Canis lupus familiaris,1971
KC175340,Alphacoronavirus 1,GenBank,complete,"USA: Ithaca, NY",NY,Canis lupus familiaris,1978
KC175341,Alphacoronavirus 1,GenBank,complete,"USA: Ithaca, NY",NY,Canis lupus familiaris,1978
JX647847,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-12
JX524137,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-04-10
JX489155,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-02
JX261936,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-02-10
JN634064,Alphacoronavirus 1,GenBank,complete,,,,
JX188454,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-05
JX112709,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012-02-11
JX088695,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2012
JX145339,Porcine epidemic diarrhea virus,GenBank,complete,China: Guangdong,,Sus scrofa,2011-02
JQ023161,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2009
JQ023162,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,
JQ408980,Alphacoronavirus 1,GenBank,complete,,,Felis catus,
JQ408981,Alphacoronavirus 1,GenBank,complete,,,Felis catus,
JQ404409,Alphacoronavirus 1,GenBank,complete,,,Canis lupus familiaris,
JQ404410,Alphacoronavirus 1,GenBank,complete,,,Canis lupus familiaris,
JQ765563,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2009-03-16
JQ765564,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2009-03-01
JQ765565,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2009-02-13
JQ765566,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2008-01-08
JQ765567,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2009-03-12
JQ765568,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2005-01-11
JQ765569,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2005-01-18
JQ765570,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2005-01-19
JQ765571,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2005-01-23
JQ765572,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2005-02-01
JQ765573,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2005-04-12
JQ765574,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2005-11
JQ765575,Human coronavirus NL63,GenBank,complete,"USA: Denver, CO",CO,Homo sapiens,2005-11-21
JQ282909,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-05-03
JN856008,Alphacoronavirus 1,GenBank,complete,"USA: Ithaca, NY",NY,Canis lupus familiaris,1976
JN547228,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,1986
JN183882,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2010-07-14
JN183883,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2010-03-12
HQ462571,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,
HQ392469,Alphacoronavirus 1,GenBank,complete,Netherlands,,Felis catus,2008-01-22
HQ392470,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Feliformia,2007-08-23
HQ392471,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Feliformia,2007-08-23
HQ392472,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Feliformia,2008-01-22
HQ012367,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Feliformia,2007-07-17
HQ012368,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Feliformia,2007-07-24
HQ012369,Alphacoronavirus 1,GenBank,complete,Netherlands,,Feliformia,2007-09-11
HQ012370,Alphacoronavirus 1,GenBank,complete,Netherlands,,Feliformia,2008-01-03
HQ012371,Alphacoronavirus 1,GenBank,complete,Netherlands,,Feliformia,2008-01-25
HQ012372,Alphacoronavirus 1,GenBank,complete,Netherlands,,Felis catus,2007-09-11
HM245925,Mink coronavirus 1,GenBank,complete,USA: Wisconsin,WI,Neovison vison,1998-01-01
HM245926,Mink coronavirus strain WD1133,GenBank,complete,USA: Minnesota,MN,Neovison vison,1998-01-01
GQ477367,Alphacoronavirus 1,GenBank,complete,Taiwan,,Canis lupus familiaris,2008-11
FJ938051,Alphacoronavirus 1,GenBank,complete,USA: California,CA,Felis catus,2002-01-28
FJ938052,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-06-05
FJ938053,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-04-25
FJ938054,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-02-02
FJ938055,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-05-24
FJ938056,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-03-07
FJ938057,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-07-13
FJ938058,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-06-07
FJ938059,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-06-05
FJ938060,Alphacoronavirus 1,GenBank,complete,USA: California,CA,Felis catus,1993-03-30
FJ938061,Alphacoronavirus 1,GenBank,complete,USA: California,CA,Felis catus,1998-03-10
FJ938062,Alphacoronavirus 1,GenBank,complete,Netherlands: Utrecht,,Felis catus,2007-05-24
GQ152141,Alphacoronavirus 1,GenBank,complete,Taiwan,,Felis catus,2007-09
FJ755618,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,1973
EU420137,Miniopterus bat coronavirus 1,GenBank,complete,Hong Kong,,,
EU420138,Miniopterus bat coronavirus 1,GenBank,complete,Hong Kong,,,
EU420139,Miniopterus bat coronavirus HKU8,GenBank,complete,Hong Kong,,,
EF203064,Rhinolophus bat coronavirus HKU2,GenBank,complete,,,,
EF203065,Rhinolophus bat coronavirus HKU2,GenBank,complete,,,,
EF203066,Rhinolophus bat coronavirus HKU2,GenBank,complete,,,,
EF203067,Rhinolophus bat coronavirus HKU2,GenBank,complete,,,,
EU074218,Alphacoronavirus 1,GenBank,complete,China,,,
DQ286389,Alphacoronavirus 1,GenBank,complete,USA,,,
EF185992,Porcine epidemic diarrhea virus,GenBank,complete,China: Lanzhou,,,
DQ848678,Alphacoronavirus 1,GenBank,complete,,,,
DQ811785,Alphacoronavirus 1,GenBank,complete,USA:Ohio,OH,Sus scrofa,
DQ811786,Alphacoronavirus 1,GenBank,complete,USA:Ohio,OH,Sus scrofa,1987
DQ811787,Alphacoronavirus 1,GenBank,complete,USA:Indiana,IN,Sus scrofa,
DQ811788,Alphacoronavirus 1,GenBank,complete,,,Sus scrofa,
DQ811789,Alphacoronavirus 1,GenBank,complete,USA:Indiana,IN,Sus scrofa,1952
DQ443743,Alphacoronavirus 1,GenBank,complete,China,,,
DQ201447,Alphacoronavirus 1,GenBank,complete,,,Sus scrofa,
AY587882,Alphacoronavirus 1,GenBank,complete,,,,
AY518894,Human coronavirus NL63,GenBank,complete,Netherlands,,,
AY567487,Human coronavirus NL63,GenBank,complete,,,,
AF353511,Porcine epidemic diarrhea virus,GenBank,complete,,,,
AF304460,Human coronavirus 229E,GenBank,complete,,,,
